Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue Name,Venue ID,Venue Category,Venue Latitude,Venue Longitude,Venue City,Venue State
Fordham,40.86099679638654,-73.89642655981623,Fokkus Room NYC,59dc4cde2079553df2a7e2bd,Lounge,40.862635,-73.907216,New York,NY
Fordham,40.86099679638654,-73.89642655981623,Tropical Bar And Restaurant,4e4cfe87bd413c4cc66dd5c6,Bar,40.85819445595398,-73.90232563018799,New York,NY
Fordham,40.86099679638654,-73.89642655981623,Un Chin,55d32f5f498e5a511a3a0bc5,Lounge,40.86225318382544,-73.90886475864474,New York,NY
Fordham,40.86099679638654,-73.89642655981623,Mugz,4a47aecff964a520f2a91fe3,Bar,40.857309011647914,-73.88597845458973,New York,NY
Fordham,40.86099679638654,-73.89642655981623,Lé Boujè,4ee9690d99111dae86e1f59e,Nightclub,40.861582,-73.900647,New York,NY
East Tremont,40.84269615786053,-73.88735617532338,Tray's Lounge,52ac647011d225e832d2ade5,Lounge,40.83320310694568,-73.89435583839541,New York,NY
West Farms,40.83947505672653,-73.87774474910545,The Bronx - All American City,59062a8906fb6079615a6f74,Beer Bar,40.836143,-73.875972,New York,NY
High  Bridge,40.836623010706056,-73.9261020935813,City Winery,5ba7e23b364d97002cbce4a2,Wine Bar,40.828613,-73.92555,New York,NY
High  Bridge,40.836623010706056,-73.9261020935813,Suyo Gastrofusion,5a0e08c161e53b2ff4334d1b,Bar,40.840278,-73.918101,New York,NY
High  Bridge,40.836623010706056,-73.9261020935813,Frank's Red Hot Terrace,58dffd93528930451ac2832b,Sports Bar,40.82997749970659,-73.92570778703717,New York,NY
High  Bridge,40.836623010706056,-73.9261020935813,Budweiser Party Deck,58f54e66286fda68229c3b0d,Beer Bar,40.830487,-73.926378,New York,NY
High  Bridge,40.836623010706056,-73.9261020935813,AT&T Lounge,590f8d0b18d43b465dce0541,Sports Bar,40.830141,-73.926012,New York,NY
High  Bridge,40.836623010706056,-73.9261020935813,GlacierzGirlz Studios,4be89a6cee96c928eb52febf,Music Venue,40.83105172398551,-73.91973999891661,New York,NY
High  Bridge,40.836623010706056,-73.9261020935813,Beer Box,4d7fb2b8b25d6dcb65ccd242,Beer Garden,40.82967149926159,-73.92620635846114,New York,NY
