Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue Name,Venue ID,Category ID,Venue Category,Venue Latitude,Venue Longitude,Venue City,Venue State
Chinatown,40.71561842231432,-73.99427936255978,The Heineken River Lounge at Pier 17,5b2819b1c876c8002cabbadc,56aa371ce4b08b9a8d57356c,Beer Bar,40.70855924371452,-73.99907473982003,New York,NY
Chinatown,40.71561842231432,-73.99427936255978,The DL,4f5303dbe4b02cf6be81de21,4bf58dd8d48988d121941735,Lounge,40.71875996608499,-73.98907996954928,New York,NY
Washington Heights,40.85190252555305,-73.93690027985234,The Uptown Garrison,59f76cd528374e40d82f761b,4bf58dd8d48988d1c4941735,Restaurant,40.85125539385438,-73.93947295544035,New York,NY
Washington Heights,40.85190252555305,-73.93690027985234,Le Chéile,4e77e40118387f865961f673,4bf58dd8d48988d16d941735,Café,40.85145903601843,-73.93998920917511,New York,NY
Washington Heights,40.85190252555305,-73.93690027985234,Altus Cafe,556faea8498e40d5a03fedce,4bf58dd8d48988d11e941735,Cocktail Bar,40.85227048549662,-73.93468709744222,New York,NY
Washington Heights,40.85190252555305,-73.93690027985234,La Pinata,55b0383b498e6ae332e61ea7,4bf58dd8d48988d1c1941735,Mexican Restaurant,40.85040449047226,-73.93634577583298,New York,NY
Washington Heights,40.85190252555305,-73.93690027985234,181 Cabrini,49f925bdf964a520656d1fe3,4bf58dd8d48988d157941735,New American Restaurant,40.851251236650356,-73.94034289599841,New York,NY
Washington Heights,40.85190252555305,-73.93690027985234,Poción,57747010cd100bd4dbd9161e,4bf58dd8d48988d121941735,Lounge,40.847628782562246,-73.93837984011846,New York,NY
Washington Heights,40.85190252555305,-73.93690027985234,21 Bar,4bff2c17369476b03b858d1f,4bf58dd8d48988d116941735,Bar,40.85203459129534,-73.93476343620983,New York,NY
Washington Heights,40.85190252555305,-73.93690027985234,Lissemore Music Studios,4af35807f964a520c4ec21e3,4bf58dd8d48988d1e9931735,Rock Club,40.851771,-73.937934,New York,NY
Washington Heights,40.85190252555305,-73.93690027985234,Red Room Lounge,4c51fda17f6e20a1c7c5fbea,4bf58dd8d48988d121941735,Lounge,40.85068515429543,-73.93655058685616,New York,NY
Washington Heights,40.85190252555305,-73.93690027985234,Voice Academy,4bce0803b6c49c74fd6b9691,4bf58dd8d48988d1e5931735,Music Venue,40.849055,-73.936754,New York,NY
Washington Heights,40.85190252555305,-73.93690027985234,Bar 177,5c0f084ae17910002cc15a44,4bf58dd8d48988d116941735,Bar,40.847525,-73.938695,New York,NY
Washington Heights,40.85190252555305,-73.93690027985234,Monkey Room,419d3780f964a5202c1e1fe3,4bf58dd8d48988d116941735,Bar,40.854976932654424,-73.93704592998373,New York,NY
Washington Heights,40.85190252555305,-73.93690027985234,The Pinehurst Parlour,56b8c417498ef040e7a0ad9f,4bf58dd8d48988d1d4941735,Speakeasy,40.847702097479946,-73.94156522941685,New York,NY
Washington Heights,40.85190252555305,-73.93690027985234,Lola Lola,53781752498ecd7f07797019,4bf58dd8d48988d119941735,Hookah Bar,40.84565816810155,-73.93620886571378,New York,NY
Washington Heights,40.85190252555305,-73.93690027985234,180 Bar (Bar 180),58549f082eb979557c670664,56aa371ce4b08b9a8d57356c,Beer Bar,40.84954837652077,-73.93651967456937,New York,NY
Washington Heights,40.85190252555305,-73.93690027985234,The Muriel,5047b7dfe4b0c03894a5fd01,4bf58dd8d48988d11e941735,Cocktail Bar,40.85287252122352,-73.93210268101096,New York,NY
Washington Heights,40.85190252555305,-73.93690027985234,Bein' A Rock$tar,4ec8a78b61af9e14313209d6,4bf58dd8d48988d11f941735,Nightclub,40.84883140324933,-73.93585869259071,New York,NY
Washington Heights,40.85190252555305,-73.93690027985234,Rockbar Nyc,4c64b91c94160f47a0bd2d17,4bf58dd8d48988d118941735,Dive Bar,40.852119,-73.933085,New York,NY
Washington Heights,40.85190252555305,-73.93690027985234,The Holy Inn Brewing Company,54a0d1fc498e55060a63d94d,50327c8591d4c4b30a586d5d,Brewery,40.85166735623998,-73.93030837078933,New York,NY
Washington Heights,40.85190252555305,-73.93690027985234,Karoka Madness!,4dbb2fab4b222080d371a1f5,4bf58dd8d48988d120941735,Karaoke Bar,40.858033,-73.9311594,New York,NY
Washington Heights,40.85190252555305,-73.93690027985234,The Vicarage,4bce6586c564ef3b3851eef0,4bf58dd8d48988d1d4941735,Speakeasy,40.845214484630596,-73.94004924745596,New York,NY
Washington Heights,40.85190252555305,-73.93690027985234,Buddha Beer Bar,4f2abe91a17c1572126c69ca,4bf58dd8d48988d116941735,Bar,40.85733454519279,-73.93225489351966,New York,NY
Washington Heights,40.85190252555305,-73.93690027985234,The Heights Bar & Grill,59b4ca014ce06668d08e9c0d,4bf58dd8d48988d116941735,Bar,40.84519,-73.935033,New York,NY
Washington Heights,40.85190252555305,-73.93690027985234,145 Audubon Ave,5be8b3c5e7a237002c81452c,56aa371be4b08b9a8d573508,Pet Café,40.843008,-73.93622,New York,NY
Washington Heights,40.85190252555305,-73.93690027985234,Kazza Wine Bar,55739017498eef85afc14a4e,4bf58dd8d48988d123941735,Wine Bar,40.84769385813797,-73.93862109202698,New York,NY
Washington Heights,40.85190252555305,-73.93690027985234,Locksmith Bar,4a89fe91f964a5209b0920e3,4bf58dd8d48988d116941735,Bar,40.8573807,-73.9325659,New York,NY
Washington Heights,40.85190252555305,-73.93690027985234,Red Door,4e7ed9da61afbe1c9b3a8d7b,4bf58dd8d48988d116941735,Bar,40.85008476666667,-73.93450143333332,New York,NY
Washington Heights,40.85190252555305,-73.93690027985234,The Brewed Palate Taproom,50ea6f8dd63e8d9504f2006a,4bf58dd8d48988d116941735,Bar,40.85105326596146,-73.92828941345215,New York,NY
Washington Heights,40.85190252555305,-73.93690027985234,United Palace Theatre,460d50e2f964a52008451fe3,4bf58dd8d48988d1e5931735,Music Venue,40.846650594928114,-73.93828118878503,New York,NY
Washington Heights,40.85190252555305,-73.93690027985234,Voga Lounge,54ddf339498e77f5364f225c,4bf58dd8d48988d121941735,Lounge,40.848073153742334,-73.93268988409505,New York,NY
Washington Heights,40.85190252555305,-73.93690027985234,Boris Buriev Vocal Coach - (Sony Music Ent.),4db6358a4b226b343db0ba61,4bf58dd8d48988d1e5931735,Music Venue,40.847664,-73.940876,N/A,New York
Washington Heights,40.85190252555305,-73.93690027985234,Monte Isom Photography,4c7d2f9d978976b026caea39,4bf58dd8d48988d1f1931735,General Entertainment,40.850258,-73.937786,New York,NY
Washington Heights,40.85190252555305,-73.93690027985234,Victory,4dcf5aae45ddbe15f8a17db1,4bf58dd8d48988d11b941735,Pub,40.854936,-73.932684,New York,NY
Washington Heights,40.85190252555305,-73.93690027985234,Lucky 7 Tapas Bar,4e8d32ebb803ca3dfcbd112e,4bf58dd8d48988d1db931735,Tapas Restaurant,40.85044675560533,-73.93303027615121,New York,NY
Washington Heights,40.85190252555305,-73.93690027985234,La Nueva España Restaurant,4d377465d60c6dcb5d046ebc,4bf58dd8d48988d1be941735,Latin American Restaurant,40.84421594325778,-73.9375667689093,New York,NY
Washington Heights,40.85190252555305,-73.93690027985234,Radiant Bliss Music Project in Second Life,4bbcb68b4e069c746ec89de3,4bf58dd8d48988d1e5931735,Music Venue,40.84864,-73.93233,Second Life,NY
Washington Heights,40.85190252555305,-73.93690027985234,Canvas Club,4ebefcbb4690d23389021724,4bf58dd8d48988d11a941735,Other Nightlife,40.84923553466797,-73.94036102294922,New York,NY
Washington Heights,40.85190252555305,-73.93690027985234,Vibe Lounge,4be36e221dd22d7ffac396bd,4bf58dd8d48988d116941735,Bar,40.844950666824545,-73.93454410259858,New York,NY
Washington Heights,40.85190252555305,-73.93690027985234,Sting Like 2e,5121bb7de4b0d2f62261f94d,4bf58dd8d48988d11f941735,Nightclub,40.85176060382497,-73.92781601781147,New York,NY
Washington Heights,40.85190252555305,-73.93690027985234,DJ PREZZ ENTERTAINMENT,51218f31e4b06dc367a0c321,4bf58dd8d48988d1e5931735,Music Venue,40.85346221923828,-73.92918395996094,New York,NY
Washington Heights,40.85190252555305,-73.93690027985234,Da Heights Lounge,500c6444e4b0e68938acc1d9,4bf58dd8d48988d121941735,Lounge,40.845115995248804,-73.9379248068385,New York,NY
Washington Heights,40.85190252555305,-73.93690027985234,Club XL,4d7c48a7136bf04db0045d8d,4bf58dd8d48988d11f941735,Nightclub,40.84948695495344,-73.94258075790712,N/A,New York
Washington Heights,40.85190252555305,-73.93690027985234,M-2 Lounge,4ce79276f1c6236ab6795af0,4bf58dd8d48988d11f941735,Nightclub,40.844382723740964,-73.93392985880436,New York,NY
Washington Heights,40.85190252555305,-73.93690027985234,4447 Broadway,4daa673493a04642f07fd41a,4bf58dd8d48988d121941735,Lounge,40.855359899999996,-73.93318705,New York,NY
Washington Heights,40.85190252555305,-73.93690027985234,Manolos TAPAS Bar,51565a78e4b0a9d4bf77ee77,4bf58dd8d48988d1e5931735,Music Venue,40.84706621711325,-73.9379597218385,New York,NY
Washington Heights,40.85190252555305,-73.93690027985234,Coss Lounge,51edd05e498e24cb61b7120f,4bf58dd8d48988d11a941735,Other Nightlife,40.85169943865897,-73.93039935441092,New York,NY
Washington Heights,40.85190252555305,-73.93690027985234,Villa lounge,4b7f7747f964a520113030e3,4bf58dd8d48988d121941735,Lounge,40.84279116150965,-73.93670829186024,New York,NY
