,Unnamed: 0,Unnamed: 0.1,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue Name,Venue ID,Venue Category,Venue Latitude,Venue Longitude,Venue City,Venue State,Likes,Rating
64,64,64,Fieldston,40.89543742690383,-73.90564259591682,Riverdale Garden Restaurant & Lounge,4e9d991fd5fbfc17a6b95b70,Other Nightlife,40.889410572788414,-73.90010849948735,Bronx,NY,,
65,65,65,Fieldston,40.89543742690383,-73.90564259591682,Piano Lessons With Ivanka,51607698e4b0e094327465cf,Piano Bar,40.89824676513672,-73.89883422851562,Bronx,NY,,
66,66,66,Fieldston,40.89543742690383,-73.90564259591682,Hauben Danel Studio,4f32caa719836c91c7fb1951,Nightlife Spot,40.894324,-73.908478,Bronx,NY,,
67,67,67,Fieldston,40.89543742690383,-73.90564259591682,622,51eb692f498e7d4526671efb,Bar,40.890322999999995,-73.899408,Bronx,NY,,
68,68,68,Fieldston,40.89543742690383,-73.90564259591682,Room 310/311,4ffe4840e4b026d5cb7da48a,Nightclub,40.89017800000001,-73.89937900000002,Bronx,NY,,
69,69,69,Fieldston,40.89543742690383,-73.90564259591682,Play Room),50038627e4b087cfc312711e,Nightclub,40.890182,-73.899381,Bronx,NY,,
70,70,70,Fieldston,40.89543742690383,-73.90564259591682,Paulo's hole,503997fde4b00973849e50dc,Beer Garden,40.88716506958008,-73.90450286865234,Bronx,NY,,
71,71,71,Fieldston,40.89543742690383,-73.90564259591682,235th at Riverdale Ave.,4ea44031dab4725270aeba49,Cocktail Bar,40.88518953181696,-73.90736626166388,,New York,,
72,72,72,Fieldston,40.89543742690383,-73.90564259591682,Papa Joe's,4ed540fc8b81e32245e1fd54,Sports Bar,40.887034671638105,-73.90400177819282,Bronx,NY,,
73,73,73,Fieldston,40.89543742690383,-73.90564259591682,Hudson's,4e756042b0fb9680332e450d,Bar,40.886988,-73.907362,Bronx,NY,,
74,74,74,Fieldston,40.89543742690383,-73.90564259591682,The Bridge Tavern,4f17a65ca17c202e104c1aee,Sports Bar,40.88349538008993,-73.9017625732257,Bronx,NY,,
75,75,75,Fieldston,40.89543742690383,-73.90564259591682,Bugatti Music Group,53b5a68e498eb33cef8917f1,Music Venue,40.886617629570324,-73.91140241689857,Bronx,NY,,
76,76,76,Fieldston,40.89543742690383,-73.90564259591682,Fenwick's Bar & Grill,4b228503f964a520394824e3,Bar,40.88717029252308,-73.90452576720683,Bronx,NY,,
77,77,77,Fieldston,40.89543742690383,-73.90564259591682,крыша русских в Нью Йорке,5792e698498e3514faef5635,Lounge,40.890147,-73.898519,New York,NY,,
78,78,78,Fieldston,40.89543742690383,-73.90564259591682,Lounge 243,4b073abef964a5202bfa22e3,Bar,40.89102799117389,-73.89830347223476,Bronx,NY,,
79,79,79,Fieldston,40.89543742690383,-73.90564259591682,Cayuga Way,4f735148e4b017b4494d54a0,Lounge,40.897222,-73.896831,Bronx,NY,,
80,80,80,Fieldston,40.89543742690383,-73.90564259591682,Jim Lahti Master Studio,52925b3811d2c6e3b5418405,Music Venue,40.882785,-73.905243,Bronx,NY,,
81,81,81,Fieldston,40.89543742690383,-73.90564259591682,Barcelona Bites Gastro Club,562d08fa498ee2b2ebfa94eb,Lounge,40.889419717020665,-73.89923731358873,Bronx,NY,,
82,82,82,Fieldston,40.89543742690383,-73.90564259591682,T & Y Wine and Spirits,55e628e6498e0b728876b1ca,Other Nightlife,40.88404800434176,-73.90071761888552,Bronx,NY,,
83,83,83,Fieldston,40.89543742690383,-73.90564259591682,Mr Vigg's,4d310037eefa8cfa7d7d26b3,Bar,40.9051625,-73.901347,Bronx,NY,,
84,84,84,Fieldston,40.89543742690383,-73.90564259591682,Sofia's Fitness and Dance Studio,4f32c98a19836c91c7fa9afe,Nightlife Spot,40.885277,-73.906973,Bronx,NY,,
85,85,85,Fieldston,40.89543742690383,-73.90564259591682,Frankie's TAVERN,576e390d498e5c4438bfcb83,Pub,40.905235,-73.90119,New York,NY,,
86,86,86,Fieldston,40.89543742690383,-73.90564259591682,Madden's Uptown Bar & Grill,571ff63c498ef61109f28cf3,Pub,40.883327,-73.901777,Bronx,NY,,
87,87,87,Fieldston,40.89543742690383,-73.90564259591682,madden's Pub,56eb2d73498e0ec37f0c72ca,Pub,40.88347546287676,-73.90164775353237,Bronx,NY,,
88,88,88,Fieldston,40.89543742690383,-73.90564259591682,The Broads,4c71ba7c8efc37043554117d,Speakeasy,40.88486236666667,-73.90282441666666,Bronx,NY,,
89,89,89,Riverdale,40.890834493891305,-73.9125854610857,Bugatti Music Group,53b5a68e498eb33cef8917f1,Music Venue,40.886617629570324,-73.91140241689857,Bronx,NY,,
90,90,90,Riverdale,40.890834493891305,-73.9125854610857,Uptown Coffeehouse,4bddf2af0ee3a593dc4b2fb0,Music Venue,40.892331,-73.905058,Bronx,NY,,
91,91,91,Riverdale,40.890834493891305,-73.9125854610857,Blackstone Bar & Grill,53683f34498e6d121eeecbdf,Bar,40.88725320011629,-73.9072508524159,Bronx,NY,,
92,92,92,Riverdale,40.890834493891305,-73.9125854610857,Rowes Wharf Bar,53fa637a498e4466793a7827,Bar,40.8832,-73.91,Boston,MA,,
93,93,93,Riverdale,40.890834493891305,-73.9125854610857,An Beal Bocht Cafe,3fd66200f964a5203ce31ee3,Bar,40.88730309009836,-73.90502527528892,Bronx,NY,,
94,94,94,Riverdale,40.890834493891305,-73.9125854610857,Beach Walk at Sea Bright,53cc465d498e4feb858cd52f,Beach Bar,40.8867,-73.9116,Sea Bright,NJ,,
95,95,95,Riverdale,40.890834493891305,-73.9125854610857,Tiki Bar,53cc46e5498e4feb858cde71,Beach Bar,40.8867,-73.9116,Sea Bright,NJ,,
96,96,96,Riverdale,40.890834493891305,-73.9125854610857,Sofia's Fitness and Dance Studio,4f32c98a19836c91c7fa9afe,Nightlife Spot,40.885277,-73.906973,Bronx,NY,,
97,97,97,Riverdale,40.890834493891305,-73.9125854610857,Mega Apartment.,4f767143e4b0c8b497287cb1,Hotel Bar,40.885053842506586,-73.91298125998466,Bronx,NY,,
98,98,98,Riverdale,40.890834493891305,-73.9125854610857,Jim Lahti Master Studio,52925b3811d2c6e3b5418405,Music Venue,40.882785,-73.905243,Bronx,NY,,
99,99,99,Riverdale,40.890834493891305,-73.9125854610857,American Legion Post 774,4bf6efbe13aed13abc7deaf7,Speakeasy,40.880019,-73.90818357467651,Bronx,NY,,
100,100,100,Riverdale,40.890834493891305,-73.9125854610857,Play Room),50038627e4b087cfc312711e,Nightclub,40.890182,-73.899381,Bronx,NY,,
101,101,101,Riverdale,40.890834493891305,-73.9125854610857,Wreckin Crew Productions  Studio,539215ad498eb27aa253e5e6,Music Venue,40.8846,-73.9135,Bronx,NY,,
102,102,102,Riverdale,40.890834493891305,-73.9125854610857,The Sălbatic Twins HQ - NY,500302f4e4b023056e172a67,Music Venue,40.885246,-73.913115,Bronx,NY,,
103,103,103,Riverdale,40.890834493891305,-73.9125854610857,T & Y Wine and Spirits,55e628e6498e0b728876b1ca,Other Nightlife,40.88404800434176,-73.90071761888552,Bronx,NY,,
104,104,104,Riverdale,40.890834493891305,-73.9125854610857,Lamp And Jelly Fish,4fa59d52e4b0bbcd4a1a2765,Cocktail Bar,40.8831015575006,-73.90906570563936,Bronx,NY,,
105,105,105,Riverdale,40.890834493891305,-73.9125854610857,The Broads,4c71ba7c8efc37043554117d,Speakeasy,40.88486236666667,-73.90282441666666,Bronx,NY,,
106,106,106,Riverdale,40.890834493891305,-73.9125854610857,Madden's Uptown Bar & Grill,571ff63c498ef61109f28cf3,Pub,40.883327,-73.901777,Bronx,NY,,
107,107,107,Riverdale,40.890834493891305,-73.9125854610857,Paulo's hole,503997fde4b00973849e50dc,Beer Garden,40.88716506958008,-73.90450286865234,Bronx,NY,,
108,108,108,Riverdale,40.890834493891305,-73.9125854610857,Not So Nice,4e532cd322711d4da5b962fd,Nightlife Spot,40.88212700828228,-73.91633984722516,,New York,,
109,109,109,Riverdale,40.890834493891305,-73.9125854610857,Roma Lounge,4d8cf5ac34f2cbff56e8a7e3,Lounge,40.89045281501451,-73.90234248082983,Bronx,NY,,
110,110,110,Riverdale,40.890834493891305,-73.9125854610857,Hauben Danel Studio,4f32caa719836c91c7fb1951,Nightlife Spot,40.894324,-73.908478,Bronx,NY,,
111,111,111,Riverdale,40.890834493891305,-73.9125854610857,235th at Riverdale Ave.,4ea44031dab4725270aeba49,Cocktail Bar,40.88518953181696,-73.90736626166388,,New York,,
112,112,112,Riverdale,40.890834493891305,-73.9125854610857,Papa Joe's,4ed540fc8b81e32245e1fd54,Sports Bar,40.887034671638105,-73.90400177819282,Bronx,NY,,
113,113,113,Riverdale,40.890834493891305,-73.9125854610857,Hudson's,4e756042b0fb9680332e450d,Bar,40.886988,-73.907362,Bronx,NY,,
114,114,114,Riverdale,40.890834493891305,-73.9125854610857,The Bridge Tavern,4f17a65ca17c202e104c1aee,Sports Bar,40.88349538008993,-73.9017625732257,Bronx,NY,,
115,115,115,Riverdale,40.890834493891305,-73.9125854610857,madden's Pub,56eb2d73498e0ec37f0c72ca,Pub,40.88347546287676,-73.90164775353237,Bronx,NY,,
116,116,116,Riverdale,40.890834493891305,-73.9125854610857,Fenwick's Bar & Grill,4b228503f964a520394824e3,Bar,40.88717029252308,-73.90452576720683,Bronx,NY,,
117,117,117,Riverdale,40.890834493891305,-73.9125854610857,NoMa Swingers Association,4dbdc9e86a23e294ba4e42b7,Other Nightlife,40.88129445224679,-73.90816431321456,,New York,,
118,118,118,Riverdale,40.890834493891305,-73.9125854610857,American Legion,512967bce4b0447baa9b7972,Dive Bar,40.880039000000004,-73.90835200000002,Bronx,NY,,
119,119,119,Riverdale,40.890834493891305,-73.9125854610857,A&B's Rooftop Lounge,4c65fa7fb80abe9a6d08cce5,Nightclub,40.884301,-73.911061,Bronx,NY,,
120,120,120,Riverdale,40.890834493891305,-73.9125854610857,622,51eb692f498e7d4526671efb,Bar,40.890322999999995,-73.899408,Bronx,NY,,
121,121,121,Riverdale,40.890834493891305,-73.9125854610857,Room 310/311,4ffe4840e4b026d5cb7da48a,Nightclub,40.89017800000001,-73.89937900000002,Bronx,NY,,
122,122,122,Riverdale,40.890834493891305,-73.9125854610857,Cortes Tattoo,50b58a88e4b09c31d3bd01c4,Lounge,40.88083267211914,-73.91049194335938,Bronx,NY,,
123,123,123,Kingsbridge,40.88168737120521,-73.90281798724605,Silhouette Restaurant & Lounge,4e8b34c561afcc24d9a236ca,Latin American Restaurant,40.88070643866,-73.90268654351613,Bronx,NY,,
124,124,124,Kingsbridge,40.88168737120521,-73.90281798724605,Jim Lahti Master Studio,52925b3811d2c6e3b5418405,Music Venue,40.882785,-73.905243,Bronx,NY,,
125,125,125,Kingsbridge,40.88168737120521,-73.90281798724605,The Bridge Tavern,4f17a65ca17c202e104c1aee,Sports Bar,40.88349538008993,-73.9017625732257,Bronx,NY,,
126,126,126,Kingsbridge,40.88168737120521,-73.90281798724605,The Bronx Public,59b17fe23b4e0043787e1a7c,Pub,40.87837659295958,-73.90348117090952,New York,NY,,
127,127,127,Kingsbridge,40.88168737120521,-73.90281798724605,madden's Pub,56eb2d73498e0ec37f0c72ca,Pub,40.88347546287676,-73.90164775353237,Bronx,NY,,
128,128,128,Kingsbridge,40.88168737120521,-73.90281798724605,T & Y Wine and Spirits,55e628e6498e0b728876b1ca,Other Nightlife,40.88404800434176,-73.90071761888552,Bronx,NY,,
129,129,129,Kingsbridge,40.88168737120521,-73.90281798724605,Sylin Hill,4d4f25644a38b60c0f31f166,Other Nightlife,40.87157607078552,-73.89954149723053,Bronx,NY,,
130,130,130,Kingsbridge,40.88168737120521,-73.90281798724605,American Legion Post 774,4bf6efbe13aed13abc7deaf7,Speakeasy,40.880019,-73.90818357467651,Bronx,NY,,
131,131,131,Kingsbridge,40.88168737120521,-73.90281798724605,Tilila,558b30d0498e2fb129a2a42b,Bar,40.88387242577101,-73.89820853750416,Bronx,NY,,
132,132,132,Kingsbridge,40.88168737120521,-73.90281798724605,An Beal Bocht Cafe,3fd66200f964a5203ce31ee3,Bar,40.88730309009836,-73.90502527528892,Bronx,NY,,
133,133,133,Kingsbridge,40.88168737120521,-73.90281798724605,Keenan's,548e0d51498e6561895f6db5,Bar,40.87920843540575,-73.90456714524869,New York,NY,,
134,134,134,Kingsbridge,40.88168737120521,-73.90281798724605,Madden's Uptown Bar & Grill,571ff63c498ef61109f28cf3,Pub,40.883327,-73.901777,Bronx,NY,,
135,135,135,Kingsbridge,40.88168737120521,-73.90281798724605,3227,4f16478ae4b03856f5321d41,Other Nightlife,40.88187038406912,-73.90500630497122,Bronx,NY,,
136,136,136,Kingsbridge,40.88168737120521,-73.90281798724605,Bugatti Music Group,53b5a68e498eb33cef8917f1,Music Venue,40.886617629570324,-73.91140241689857,Bronx,NY,,
137,137,137,Kingsbridge,40.88168737120521,-73.90281798724605,Barcelona Bites Gastro Club,562d08fa498ee2b2ebfa94eb,Lounge,40.889419717020665,-73.89923731358873,Bronx,NY,,
138,138,138,Kingsbridge,40.88168737120521,-73.90281798724605,Applebee's Grill + Bar,4b5e451cf964a520f58629e3,American Restaurant,40.87368548,-73.90892769,Bronx,NY,,
139,139,139,Kingsbridge,40.88168737120521,-73.90281798724605,Lamp And Jelly Fish,4fa59d52e4b0bbcd4a1a2765,Cocktail Bar,40.8831015575006,-73.90906570563936,Bronx,NY,,
140,140,140,Kingsbridge,40.88168737120521,-73.90281798724605,Mr. McGoo's,4c1c4501b9f876b005c37b46,Bar,40.87941944187053,-73.90424277141844,Bronx,NY,,
141,141,141,Kingsbridge,40.88168737120521,-73.90281798724605,Mon Amour Coffee & Wine,5660c06b498e4003dba169a5,Coffee Shop,40.88500863418534,-73.90033222698837,Bronx,NY,,
142,142,142,Kingsbridge,40.88168737120521,-73.90281798724605,The Franciscotech,4f0335de0aaffcf6f79bf838,Nightclub,40.878448277842274,-73.88990017200584,Bronx,NY,,
143,143,143,Kingsbridge,40.88168737120521,-73.90281798724605,Play Room),50038627e4b087cfc312711e,Nightclub,40.890182,-73.899381,Bronx,NY,,
144,144,144,Kingsbridge,40.88168737120521,-73.90281798724605,Fenwick's Bar & Grill,4b228503f964a520394824e3,Bar,40.88717029252308,-73.90452576720683,Bronx,NY,,
145,145,145,Kingsbridge,40.88168737120521,-73.90281798724605,Tiki Bar,53cc46e5498e4feb858cde71,Beach Bar,40.8867,-73.9116,Sea Bright,NJ,,
146,146,146,Kingsbridge,40.88168737120521,-73.90281798724605,Beach Walk at Sea Bright,53cc465d498e4feb858cd52f,Beach Bar,40.8867,-73.9116,Sea Bright,NJ,,
147,147,147,Kingsbridge,40.88168737120521,-73.90281798724605,The Punchbowl,4c12db67a5eb76b08301bfb7,Bar,40.885019560687695,-73.90066150520914,Bronx,NY,,
148,148,148,Kingsbridge,40.88168737120521,-73.90281798724605,крыша русских в Нью Йорке,5792e698498e3514faef5635,Lounge,40.890147,-73.898519,New York,NY,,
149,149,149,Kingsbridge,40.88168737120521,-73.90281798724605,paulines,4b7f420ef964a520ed2230e3,Bar,40.88464000000001,-73.89075,Bronx,NY,,
150,150,150,Kingsbridge,40.88168737120521,-73.90281798724605,NoMa Swingers Association,4dbdc9e86a23e294ba4e42b7,Other Nightlife,40.88129445224679,-73.90816431321456,,New York,,
151,151,151,Kingsbridge,40.88168737120521,-73.90281798724605,JC Mac's,4c71b4a4d944224b07fb0a29,Bar,40.88466615956421,-73.89970709720696,Bronx,NY,,
152,152,152,Kingsbridge,40.88168737120521,-73.90281798724605,Paulo's hole,503997fde4b00973849e50dc,Beer Garden,40.88716506958008,-73.90450286865234,Bronx,NY,,
153,153,153,Kingsbridge,40.88168737120521,-73.90281798724605,Blackstone Bar & Grill,53683f34498e6d121eeecbdf,Bar,40.88725320011629,-73.9072508524159,Bronx,NY,,
