Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue Name,Venue ID,Venue Category,Venue Latitude,Venue Longitude,Venue City,Venue State,Likes,Rating
Pelham Parkway,40.857413498088654,-73.85475564017999,Dragonsvale,54a31b44498e43a77f39850b,Lounge,40.85581653146776,-73.8574729122345,Bronx,NY,2,N/A
Pelham Parkway,40.857413498088654,-73.85475564017999,Alter House Of Beer And Shamrocks,4d7c1dace04d6ea8efb7f5d5,Lounge,40.853223002886146,-73.85598555458992,Bronx,NY,0,N/A
Pelham Parkway,40.857413498088654,-73.85475564017999,Bruxelles Lounge,5ae482dfa6031c002c5eb371,Lounge,40.86567700000001,-73.86041,Bronx,NY,0,N/A
Pelham Parkway,40.857413498088654,-73.85475564017999,Los Mejores Music Studio,4e5dc418d1640a5975c18e72,Music Venue,40.85733697013081,-73.85001948946602,,NY,2,N/A
Pelham Parkway,40.857413498088654,-73.85475564017999,SK Labs NYC,516989fce4b0b2ce67b87a09,Music Venue,40.851423,-73.843977,Bronx,NY,0,N/A
Pelham Parkway,40.857413498088654,-73.85475564017999,fye,535eea0f498e5920cfcb31dc,Music Venue,40.85616672053001,-73.86759734833689,Bronx,NY,3,N/A
Pelham Parkway,40.857413498088654,-73.85475564017999,Skyline Bar & Lounge,526348c3498e9055a723eda9,Lounge,40.852903953914655,-73.84261235600046,Bronx,NY,10,7.4
Pelham Parkway,40.857413498088654,-73.85475564017999,The Gallery,4f46f125e4b03377e603a68e,Lounge,40.856336,-73.866957,Bronx,NY,0,N/A
Pelham Parkway,40.857413498088654,-73.85475564017999,Get Reel Studios,4bd25eaf77b29c7480ba8e82,Music Venue,40.853892665732324,-73.84267822192209,Bronx,NY,0,N/A
City Island,40.847246704918135,-73.78648845267412,Starving Artist Cafe & Gallery,4bda1a222a3a0f4754caa9b6,Music Venue,40.84542005194322,-73.78580638915213,Bronx,NY,5,6.8
Bedford Park,40.870185164975325,-73.8855121841913,V & V Liquor,4b572a15f964a5200c2928e3,Lounge,40.86971546911564,-73.89026765348925,Bronx,NY,2,N/A
Bedford Park,40.870185164975325,-73.8855121841913,Praga Lounge,595efddd4f0e580dd1ad04fe,Lounge,40.865121,-73.892569,Bronx,NY,0,N/A
Bedford Park,40.870185164975325,-73.8855121841913,ToucHDowN Studio,4c6f38a8d7fab1f7f7f75ac9,Music Venue,40.86928683,-73.89302973,Bronx,NY,0,N/A
Bedford Park,40.870185164975325,-73.8855121841913,Keating Steps,518340ba498e448eee958520,Concert Hall,40.86084497312691,-73.88447973992288,Bronx,NY,1,N/A
Bedford Park,40.870185164975325,-73.8855121841913,Club316,50e23543e4b08db5ab63a9c4,Lounge,40.86781734968232,-73.89272585715291,Bronx,NY,0,N/A
